"","ingredient","is_meat","is_sauce","is_alt_cheese","is_veggie"
"1","Alfredo Sauce",FALSE,TRUE,FALSE,FALSE
"2","Anchovies",TRUE,FALSE,FALSE,FALSE
"3","Artichoke",FALSE,FALSE,FALSE,TRUE
"4","Artichokes",FALSE,FALSE,FALSE,TRUE
"5","Arugula",FALSE,FALSE,FALSE,TRUE
"6","Asiago Cheese",FALSE,FALSE,TRUE,FALSE
"7","Bacon",TRUE,FALSE,FALSE,FALSE
"8","Barbecue Sauce",FALSE,TRUE,FALSE,FALSE
"9","Barbecued Chicken",TRUE,FALSE,FALSE,FALSE
"10","Beef Chuck Roast",TRUE,FALSE,FALSE,FALSE
"11","Blue Cheese",FALSE,FALSE,TRUE,FALSE
"12","Brie Carre Cheese",FALSE,FALSE,TRUE,FALSE
"13","Calabrese Salami",TRUE,FALSE,FALSE,FALSE
"14","Capocollo",TRUE,FALSE,FALSE,FALSE
"15","Caramelized Onions",FALSE,FALSE,FALSE,TRUE
"16","Chicken",TRUE,FALSE,FALSE,FALSE
"17","Chipotle Sauce",FALSE,TRUE,FALSE,FALSE
"18","Chorizo Sausage",TRUE,FALSE,FALSE,FALSE
"19","Cilantro",FALSE,FALSE,FALSE,TRUE
"20","Coarse Sicilian Salami",TRUE,FALSE,FALSE,FALSE
"21","Corn",FALSE,FALSE,FALSE,TRUE
"22","Eggplant",FALSE,FALSE,FALSE,TRUE
"23","Feta Cheese",FALSE,FALSE,TRUE,FALSE
"24","Fontina Cheese",FALSE,FALSE,TRUE,FALSE
"25","Friggitello Peppers",FALSE,FALSE,FALSE,TRUE
"26","Garlic",FALSE,FALSE,FALSE,TRUE
"27","Genoa Salami",TRUE,FALSE,FALSE,FALSE
"28","Goat Cheese",FALSE,FALSE,TRUE,FALSE
"29","Gorgonzola Piccante Cheese",FALSE,FALSE,TRUE,FALSE
"30","Gouda Cheese",FALSE,FALSE,TRUE,FALSE
"31","Green Olives",FALSE,FALSE,FALSE,TRUE
"32","Green Peppers",FALSE,FALSE,FALSE,TRUE
"33","Italian Sausage",TRUE,FALSE,FALSE,FALSE
"34","Jalapeno Peppers",FALSE,FALSE,FALSE,TRUE
"35","Kalamata Olives",FALSE,FALSE,FALSE,TRUE
"36","Luganega Sausage",TRUE,FALSE,FALSE,FALSE
"37","Mozzarella Cheese",FALSE,FALSE,FALSE,FALSE
"38","Mushrooms",FALSE,FALSE,FALSE,TRUE
"39","Onions",FALSE,FALSE,FALSE,TRUE
"40","Oregano",FALSE,FALSE,FALSE,TRUE
"41","Pancetta",TRUE,FALSE,FALSE,FALSE
"42","Parmigiano Reggiano Cheese",FALSE,FALSE,TRUE,FALSE
"43","Pears",FALSE,FALSE,FALSE,TRUE
"44","Peperoncini verdi",TRUE,FALSE,FALSE,FALSE
"45","Pepperoni",TRUE,FALSE,FALSE,FALSE
"46","Pesto Sauce",FALSE,TRUE,FALSE,FALSE
"47","Pineapple",FALSE,FALSE,FALSE,TRUE
"48","Plum Tomatoes",FALSE,FALSE,FALSE,TRUE
"49","Prosciutto",TRUE,FALSE,FALSE,FALSE
"50","Prosciutto di San Daniele",TRUE,FALSE,FALSE,FALSE
"51","Provolone Cheese",FALSE,FALSE,TRUE,FALSE
"52","Red Onions",FALSE,FALSE,FALSE,TRUE
"53","Red Peppers",FALSE,FALSE,FALSE,TRUE
"54","Ricotta Cheese",FALSE,FALSE,TRUE,FALSE
"55","Romano Cheese",FALSE,FALSE,TRUE,FALSE
"56","Sliced Ham",TRUE,FALSE,FALSE,FALSE
"57","Smoked Gouda Cheese",FALSE,FALSE,TRUE,FALSE
"58","Soppressata Salami",TRUE,FALSE,FALSE,FALSE
"59","Spinach",FALSE,FALSE,FALSE,TRUE
"60","Sun-dried Tomatoes",FALSE,FALSE,FALSE,TRUE
"61","Thai Sweet Chilli Sauce",FALSE,TRUE,FALSE,FALSE
"62","Thyme",FALSE,FALSE,FALSE,TRUE
"63","Tomatoes",FALSE,FALSE,FALSE,TRUE
"64","Zucchini",FALSE,FALSE,FALSE,TRUE
"65","慛duja Salami",TRUE,FALSE,FALSE,FALSE
