"","pizza_name","pizza_ingredients","ingredeint_count","meat_count","alt_cheese_count","alt_sauce_count","veggie_count"
"1","The Pepperoni, Mushroom, and Peppers Pizza","Pepperoni, Mushrooms, Green Peppers",3,1,0,0,2
"2","The Southwest Chicken Pizza","Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",8,1,0,1,5
"3","The Hawaiian Pizza","Sliced Ham, Pineapple, Mozzarella Cheese",3,1,0,0,0
"4","The Barbecue Chicken Pizza","Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",6,1,0,1,4
"5","The Spinach Pesto Pizza","Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",6,0,0,1,4
"6","The Sicilian Pizza","Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",6,2,0,0,3
"7","The Pepperoni Pizza","Mozzarella Cheese, Pepperoni",2,1,0,0,0
"8","The Classic Deluxe Pizza","Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",5,2,0,0,3
"9","The Brie Carre Pizza","Brie Carre Cheese, Prosciutto, Caramelized Onions, Pears, Thyme, Garlic",6,1,1,0,1
"10","The Napolitana Pizza","Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",5,1,0,0,3
"11","The Vegetables + Vegetables Pizza","Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",8,0,0,0,7
"12","The Italian Vegetables Pizza","Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce",7,0,0,1,5
"13","The Italian Supreme Pizza","Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",6,2,0,0,3
"14","The Mexicana Pizza","Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",8,0,0,1,5
"15","The California Chicken Pizza","Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",7,1,2,0,3
"16","The Soppressata Pizza","Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic",5,1,1,0,1
"17","The Green Garden Pizza","Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",5,0,1,0,4
"18","The Mediterranean Pizza","Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions",7,0,1,0,6
"19","The Chicken Alfredo Pizza","Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",6,1,1,1,3
"20","The Four Cheese Pizza","Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",5,0,3,0,0
"21","The Pepper Salami Pizza","Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",6,3,1,0,1
"22","The Spinach and Feta Pizza","Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",5,0,1,0,3
"23","The Greek Pizza","Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",6,1,1,0,3
"24","The Thai Chicken Pizza","Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",5,1,0,1,2
"25","The Spicy Italian Pizza","Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",6,1,1,0,3
"26","The Five Cheese Pizza","Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",6,0,4,0,0
"27","The Chicken Pesto Pizza","Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",6,1,0,1,3
"28","The Prosciutto and Arugula Pizza","Prosciutto di San Daniele, Arugula, Mozzarella Cheese",3,1,0,0,1
"29","The Big Meat Pizza","Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",4,4,0,0,0
"30","The Spinach Supreme Pizza","Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",8,1,1,0,5
"31","The Calabrese Pizza","慛duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",6,2,0,0,3
"32","The Italian Capocollo Pizza","Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",6,1,1,0,2
